id,account_number_fake,holder_name_fake,bank_name,account_type,ifsc_code,opened_at
1,367136959440,Neha Patel,ICICI Bank,normal,ICIC00909,2026-03-17
2,439533942104,Sunita Verma,Axis Bank,normal,UTIB09521,2026-05-20
3,562328588424,Manoj Shah,ICICI Bank,normal,ICIC05171,2025-07-25
4,685160481754,Geeta Kulkarni,HDFC Bank,normal,HDFC05137,2025-06-10
5,859317461200,Riya Pillai,Punjab National Bank,normal,PUNB01138,2025-07-23
6,758692617964,Aditya Bhatt,Axis Bank,normal,UTIB05377,2025-08-31
7,158506431713,Lakshmi Sharma,ICICI Bank,normal,ICIC00532,2026-04-02
8,318393352904,Rohan Rao,Punjab National Bank,normal,PUNB08421,2026-02-12
9,205395024026,Sanjay Reddy,State Bank of India,normal,SBIN01775,2025-12-17
10,178390847007,Neha Desai,Punjab National Bank,normal,PUNB01771,2026-05-16
11,592124998569,Sanjay Shah,State Bank of India,normal,SBIN07896,2025-07-09
12,183673657661,Rahul Desai,Bank of Baroda,normal,BARB05452,2026-02-22
13,111161528098,Sunil Mehta,Axis Bank,normal,UTIB01656,2026-05-04
14,049451983273,Reyansh Joshi,Bank of Baroda,normal,BARB08514,2026-01-09
15,689980940244,Amit Joshi,HDFC Bank,normal,HDFC00229,2026-02-11
16,120183667525,Riya Pandey,Axis Bank,normal,UTIB05991,2026-05-10
17,229014767976,Anika Nair,State Bank of India,normal,SBIN08156,2025-07-14
18,978403690034,Aadhya Rao,ICICI Bank,normal,ICIC04451,2025-06-04
19,622683885160,Kavita Sharma,Axis Bank,normal,UTIB07159,2025-11-14
20,664160529751,Kavita Reddy,Punjab National Bank,normal,PUNB03696,2025-12-21
21,645352181883,Suresh Joshi,State Bank of India,normal,SBIN02312,2025-09-08
22,292127799799,Rahul Malhotra,HDFC Bank,normal,HDFC05271,2025-11-30
23,449058147700,Rajesh Shah,Axis Bank,normal,UTIB01199,2025-12-14
24,798079359782,Vihaan Naidu,Axis Bank,normal,UTIB01518,2026-02-06
25,037788925546,Pooja Mehta,HDFC Bank,normal,HDFC09051,2025-10-07
26,864492519254,Neha Rao,State Bank of India,normal,SBIN09148,2025-10-25
27,528168505423,Amit Pillai,Bank of Baroda,normal,BARB03322,2025-06-30
28,188805929622,Diya Bhatt,ICICI Bank,normal,ICIC09270,2025-11-07
29,379473834735,Meena Naidu,ICICI Bank,normal,ICIC07468,2025-12-22
30,239240758181,Navya Gupta,Axis Bank,normal,UTIB02478,2025-07-28
31,137506068536,Sai Joshi,Axis Bank,normal,UTIB03051,2026-04-22
32,522047277901,Vivaan Patel,Bank of Baroda,normal,BARB03289,2025-12-22
33,143410369711,Vikram Chauhan,Axis Bank,normal,UTIB08089,2025-09-02
34,246095396218,Rajesh Gupta,Bank of Baroda,normal,BARB08888,2026-01-02
35,670654051531,Geeta Pandey,State Bank of India,normal,SBIN05205,2025-12-30
36,277221704303,Aditya Mehta,ICICI Bank,normal,ICIC04868,2025-12-01
37,034505415667,Priya Mehta,ICICI Bank,normal,ICIC02775,2026-05-25
38,416169284511,Rahul Kapoor,Punjab National Bank,normal,PUNB04479,2026-03-06
39,275705964016,Rajesh Singh,Axis Bank,normal,UTIB02029,2026-02-19
40,021355690927,Rajesh Joshi,Axis Bank,normal,UTIB07192,2025-12-23
41,654310278681,Pari Patel,ICICI Bank,normal,ICIC07394,2026-02-25
42,312172715518,Anil Shah,Axis Bank,normal,UTIB04225,2025-12-15
43,132370589578,Ishaan Chauhan,HDFC Bank,normal,HDFC01146,2026-03-06
44,786691251778,Suresh Rao,Bank of Baroda,normal,BARB08922,2025-11-16
45,018242253584,Sai Patel,Punjab National Bank,normal,PUNB03842,2026-01-29
46,981829922995,Meena Verma,ICICI Bank,normal,ICIC00109,2025-09-11
47,396907844736,Riya Naidu,Bank of Baroda,normal,BARB01027,2025-11-09
48,735925556258,Sunil Reddy,Axis Bank,normal,UTIB05371,2025-09-12
49,321046963259,Rahul Nair,Axis Bank,normal,UTIB02787,2025-12-11
50,701687339500,Navya Pillai,ICICI Bank,normal,ICIC09748,2025-06-04
51,624565060983,Rajesh Kumar,State Bank of India,normal,SBIN04168,2025-11-22
